Lp.,KWIT NR,DATA 1 WAŻENIA,DATA 2 WAŻENIA,POJAZD/ WAGON,KONTRAHENT,PRODUKT,POCHODZENIE,"WAŻENIE 1(BRUTTO)","WAŻENIE 2(TARA)",TYP WAŻENIA,NETTO
5067,9295/2017,2017-06-01 04:57:27,2017-06-01 05:13:40,BI 3229W,Przedsiębiorstwo Gospodarki Odpadami w Suwałkach Sp. z o.o.,19 12 12,SUWAŁKI,"39,08","15,82",PZ,23.26
5068,9305/2017,2017-06-01 05:59:12,2017-06-01 06:03:14,652,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"7,88","6,66",PZ,1.22
5069,9318/2017,2017-06-01 06:31:50,2017-06-01 06:37:16,247,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"6,74","6,42",PZ,0.32
5070,9320/2017,2017-06-01 07:00:45,2017-06-01 07:11:06,651,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 3,"23,92","17,34",PZ,6.58
5071,9321/2017,2017-06-01 07:37:38,2017-06-01 07:47:28,01,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 5,"10,2",9,PZ,1.2
5072,9322/2017,2017-06-01 07:39:09,2017-06-01 07:49:54,07,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 2,"17,6","13,62",PZ,3.98
5073,9323/2017,2017-06-01 07:41:33,2017-06-01 07:48:03,BI 3655W,"P.U.H.P. ""LECH"" Sp. z o.o. Zakład Utylizacji Odpadów Komunalnych w Hryniewiczach",19 12 12,JUCHNOWIEC KOŚCIELNY,"20,98","13,92",PZ,7.06
5074,9329/2017,2017-06-01 08:55:38,2017-06-01 09:00:48,077,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"27,64","15,8",PZ,11.84
5075,9330/2017,2017-06-01 08:59:18,2017-06-01 09:09:22,247,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,7,"6,4",PZ,0.6
5076,9331/2017,2017-06-01 09:13:49,2017-06-01 09:24:11,257,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"27,22","14,36",PZ,12.86
5077,9332/2017,2017-06-01 09:18:32,2017-06-01 09:39:01,BI 3768V,Zakład Gospodarowania Odpadami Sp. z o.o.,19 12 12,Łomża,"37,78","15,18",PZ,22.6
5078,9333/2017,2017-06-01 09:26:11,2017-06-01 09:33:08,BI 3655W,"P.U.H.P. ""LECH"" Sp. z o.o. Zakład Utylizacji Odpadów Komunalnych w Hryniewiczach",19 12 12,JUCHNOWIEC KOŚCIELNY,"21,22","13,9",PZ,7.32
5079,9335/2017,2017-06-01 09:42:16,2017-06-01 09:47:46,652,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"7,06","6,72",PZ,0.34
5080,9346/2017,2017-06-01 09:50:41,2017-06-01 09:56:22,03,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 2,"25,46","13,92",PZ,11.54
5081,9337/2017,2017-06-01 09:55:17,2017-06-01 10:00:00,1020,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"24,8","18,48",PZ,6.32
5082,9339/2017,2017-06-01 10:04:54,2017-06-01 10:12:11,07,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 2,"21,06","13,6",PZ,7.46
5083,9340/2017,2017-06-01 10:09:13,2017-06-01 10:15:48,267,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"26,98","14,98",PZ,12
5084,9341/2017,2017-06-01 10:23:07,2017-06-01 10:38:12,BI 3229W,Przedsiębiorstwo Gospodarki Odpadami w Suwałkach Sp. z o.o.,19 12 12,SUWAŁKI,"39,16","15,74",PZ,23.42
5085,9342/2017,2017-06-01 10:33:06,2017-06-01 10:42:02,277,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"28,82","15,78",PZ,13.04
5086,9343/2017,2017-06-01 10:40:35,2017-06-01 10:49:58,908,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 3,"23,9","14,32",PZ,9.58
5087,9344/2017,2017-06-01 10:41:02,2017-06-01 10:45:30,087,"Przedsiębiorstwo Usługowo-Asenizacyjne ""ASTWA"" Sp. z o.o.",20 03 01,ZABŁUDÓW,"17,68","16,04",PZ,1.64
5088,9347/2017,2017-06-01 11:06:42,2017-06-01 11:11:21,920,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 3,"26,9","15,76",PZ,11.14
5089,9348/2017,2017-06-01 11:07:16,2017-06-01 11:13:04,237,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"25,38","15,7",PZ,9.68
5090,9349/2017,2017-06-01 11:18:18,2017-06-01 11:22:27,652,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"7,4","6,58",PZ,0.82
5091,9350/2017,2017-06-01 11:27:42,2017-06-01 11:33:59,BI 3655W,"P.U.H.P. ""LECH"" Sp. z o.o. Zakład Utylizacji Odpadów Komunalnych w Hryniewiczach",19 12 12,JUCHNOWIEC KOŚCIELNY,"21,22","13,88",PZ,7.34
5092,9352/2017,2017-06-01 11:33:25,2017-06-01 11:37:55,077,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"22,88","15,66",PZ,7.22
5093,9354/2017,2017-06-01 11:40:33,2017-06-01 11:46:25,094,"Przedsiębiorstwo Usługowo-Asenizacyjne ""ASTWA"" Sp. z o.o.",20 03 01,Supraśl,"24,28","15,34",PZ,8.94
5094,9355/2017,2017-06-01 11:41:52,2017-06-01 11:48:25,911,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 3,"28,4","15,8",PZ,12.6
5095,9356/2017,2017-06-01 11:45:08,2017-06-01 11:50:25,909,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 1,"20,42","12,32",PZ,8.1
5096,9357/2017,2017-06-01 11:51:25,2017-06-01 11:58:07,577,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"27,2","16,72",PZ,10.48
5097,9358/2017,2017-06-01 11:52:38,2017-06-01 12:01:04,257,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"20,12","14,18",PZ,5.94
5098,9359/2017,2017-06-01 12:09:43,2017-06-01 12:14:29,03,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 2,"20,02","13,8",PZ,6.22
5099,9362/2017,2017-06-01 12:39:33,2017-06-01 12:45:11,287,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"22,46","19,9",PZ,2.56
5100,9363/2017,2017-06-01 12:46:33,2017-06-01 12:53:41,267,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"19,7","14,96",PZ,4.74
5101,9364/2017,2017-06-01 12:52:00,2017-06-01 13:00:07,277,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"21,1","15,78",PZ,5.32
5102,9365/2017,2017-06-01 13:04:41,2017-06-01 13:11:37,BI 3655W,"P.U.H.P. ""LECH"" Sp. z o.o. Zakład Utylizacji Odpadów Komunalnych w Hryniewiczach",19 12 12,JUCHNOWIEC KOŚCIELNY,"22,76","13,88",PZ,8.88
5103,9366/2017,2017-06-01 13:06:30,2017-06-01 13:12:18,089,"Przedsiębiorstwo Usługowo-Asenizacyjne ""ASTWA"" Sp. z o.o.",20 03 01,JUCHNOWIEC KOŚCIELNY,"25,22","14,46",PZ,10.76
5104,9367/2017,2017-06-01 13:09:07,2017-06-01 13:16:31,1026,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"29,74","16,2",PZ,13.54
5105,9368/2017,2017-06-01 13:13:39,2017-06-01 13:22:08,406,Miasto Białystok- Urząd Miejski w Białymstoku (gm. Gródek),20 03 01,GRÓDEK,"17,3","14,8",PZ,2.5
5106,9370/2017,2017-06-01 13:37:07,2017-06-01 13:42:53,1020,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"23,36","18,48",PZ,4.88
5107,9371/2017,2017-06-01 13:39:04,2017-06-01 13:45:36,1006,MPO Sp. z o.o.,20 03 01,CHOROSZCZ,"23,62","15,22",PZ,8.4
5108,9372/2017,2017-06-01 13:41:26,2017-06-01 13:49:11,05,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 2,"26,2","13,74",PZ,12.46
5109,9373/2017,2017-06-01 13:54:02,2017-06-01 14:02:19,07,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 2,"20,38","13,56",PZ,6.82
5110,9374/2017,2017-06-01 13:56:44,2017-06-01 14:03:23,096,Miasto Białystok- Urząd Miejski w Białymstoku (gm. Czarna Białostocka),20 03 01,Czarna Białostocka,"16,16","12,74",PZ,3.42
5111,9375/2017,2017-06-01 13:59:05,2017-06-01 14:11:04,227,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"24,62","14,66",PZ,9.96
5112,9379/2017,2017-06-01 14:00:00,2017-06-01 14:32:35,908,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 3,"22,7","14,36",PZ,8.34
5113,9376/2017,2017-06-01 14:00:24,2017-06-01 14:25:30,BI 6247H,MPO Sp. z o.o.,19 12 10,BIAŁYSTOK,"29,92","15,84",PZ,14.08
5114,9377/2017,2017-06-01 14:01:27,2017-06-01 14:18:06,BI 4792J,MPO Sp. z o.o.,19 12 10,BIAŁYSTOK,"32,78","16,56",PZ,16.22
5115,9382/2017,2017-06-01 14:40:55,2017-06-01 14:49:15,911,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 3,"22,52","15,78",PZ,6.74
5116,9383/2017,2017-06-01 14:45:03,2017-06-01 14:56:40,067,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"27,74","15,26",PZ,12.48
5117,9384/2017,2017-06-01 15:03:41,2017-06-01 15:17:30,BI 3655W,"P.U.H.P. ""LECH"" Sp. z o.o. Zakład Utylizacji Odpadów Komunalnych w Hryniewiczach",19 12 12,JUCHNOWIEC KOŚCIELNY,"23,08","13,86",PZ,9.22
5118,9385/2017,2017-06-01 15:16:05,2017-06-01 15:27:37,758,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 1,"22,08","16,4",PZ,5.68
5119,9387/2017,2017-06-01 15:19:30,2017-06-01 15:40:25,09,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 5,"14,3","12,26",PZ,2.04
5120,9388/2017,2017-06-01 15:21:36,2017-06-01 15:47:36,1011,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"4,26","3,72",PZ,0.54
5121,9389/2017,2017-06-01 15:26:33,2017-06-01 15:59:30,910,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 1,"30,34","17,58",PZ,12.76
5122,9390/2017,2017-06-01 16:39:35,2017-06-01 16:44:38,BIA 31225,"P.U.H.P. ""LECH"" Sp. z o.o. Zakład Utylizacji Odpadów Komunalnych w Hryniewiczach",19 12 12,JUCHNOWIEC KOŚCIELNY,"19,94","13,42",PZ,6.52
5123,9392/2017,2017-06-01 17:51:59,2017-06-01 17:57:16,05,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 2,"18,66","13,72",PZ,4.94
5124,9393/2017,2017-06-01 18:16:12,2017-06-01 18:21:21,1006,MPO Sp. z o.o.,20 03 01,CHOROSZCZ,"19,72","15,18",PZ,4.54
5125,9394/2017,2017-06-01 19:05:33,2017-06-01 19:10:54,BIA 31225,"P.U.H.P. ""LECH"" Sp. z o.o. Zakład Utylizacji Odpadów Komunalnych w Hryniewiczach",19 12 12,JUCHNOWIEC KOŚCIELNY,"20,54","13,4",PZ,7.14
5126,9396/2017,2017-06-01 19:29:22,2017-06-01 19:35:49,920,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"28,2","15,68",PZ,12.52
5127,9397/2017,2017-06-01 20:07:35,2017-06-01 20:12:37,920,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"16,12","15,66",PZ,0.46
5128,9413/2017,2017-06-02 06:08:56,2017-06-02 06:25:43,BI 4792J,MPO Sp. z o.o.,19 12 10,BIAŁYSTOK,"34,34","16,56",PZ,17.78
5129,9414/2017,2017-06-02 06:10:03,2017-06-02 06:23:49,BI 6247H,MPO Sp. z o.o.,19 12 10,BIAŁYSTOK,"35,04","15,94",PZ,19.1
5130,9421/2017,2017-06-02 06:21:33,2017-06-02 06:37:57,BIA 31225,"P.U.H.P. ""LECH"" Sp. z o.o. Zakład Utylizacji Odpadów Komunalnych w Hryniewiczach",19 12 12,JUCHNOWIEC KOŚCIELNY,"21,04","13,4",PZ,7.64
5131,9423/2017,2017-06-02 06:31:35,2017-06-02 06:37:15,720,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"8,46","7,5",PZ,0.96
5132,9424/2017,2017-06-02 06:32:51,2017-06-02 06:42:49,247,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"7,46","6,4",PZ,1.06
5133,9430/2017,2017-06-02 07:20:51,2017-06-02 07:25:17,720,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"7,96","7,62",PZ,0.34
5134,9431/2017,2017-06-02 08:00:22,2017-06-02 08:10:47,BI 3655W,"P.U.H.P. ""LECH"" Sp. z o.o. Zakład Utylizacji Odpadów Komunalnych w Hryniewiczach",19 12 12,JUCHNOWIEC KOŚCIELNY,"21,18","13,86",PZ,7.32
5135,9433/2017,2017-06-02 08:32:37,2017-06-02 08:38:25,BIA 31225,"P.U.H.P. ""LECH"" Sp. z o.o. Zakład Utylizacji Odpadów Komunalnych w Hryniewiczach",19 12 12,JUCHNOWIEC KOŚCIELNY,"20,36","13,4",PZ,6.96
5136,9435/2017,2017-06-02 09:31:21,2017-06-02 09:38:19,910,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 1,"21,54","17,6",PZ,3.94
5137,9436/2017,2017-06-02 09:44:21,2017-06-02 09:48:36,652,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"7,02","6,7",PZ,0.32
5138,9438/2017,2017-06-02 09:58:48,2017-06-02 10:09:13,01,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 5,"10,22","8,64",PZ,1.58
5139,9439/2017,2017-06-02 10:10:19,2017-06-02 10:18:41,BI 3655W,"P.U.H.P. ""LECH"" Sp. z o.o. Zakład Utylizacji Odpadów Komunalnych w Hryniewiczach",19 12 12,JUCHNOWIEC KOŚCIELNY,"21,48","13,84",PZ,7.64
5140,9440/2017,2017-06-02 10:17:29,2017-06-02 10:24:27,287,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"21,94","19,8",PZ,2.14
5141,9443/2017,2017-06-02 10:39:29,2017-06-02 10:44:19,237,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"21,16","15,82",PZ,5.34
5142,9445/2017,2017-06-02 10:50:01,2017-06-02 10:54:41,087,"Przedsiębiorstwo Usługowo-Asenizacyjne ""ASTWA"" Sp. z o.o.",20 03 01,ZABŁUDÓW,"22,46",16,PZ,6.46
5143,9453/2017,2017-06-02 11:11:30,2017-06-02 11:15:28,652,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"7,24","6,54",PZ,0.7
5144,9455/2017,2017-06-02 11:40:36,2017-06-02 11:46:05,094,"Przedsiębiorstwo Usługowo-Asenizacyjne ""ASTWA"" Sp. z o.o.",20 03 01,Supraśl,"25,2","15,42",PZ,9.78
5145,9456/2017,2017-06-02 11:49:44,2017-06-02 11:55:13,096,Miasto Białystok- Urząd Miejski w Białymstoku (gm. Czarna Białostocka),20 03 01,Czarna Białostocka,"19,04","12,52",PZ,6.52
5146,9458/2017,2017-06-02 11:50:49,2017-06-02 11:56:34,909,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 1,"19,92","12,24",PZ,7.68
5147,9459/2017,2017-06-02 12:13:03,2017-06-02 12:17:02,720,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"8,68","7,52",PZ,1.16
5148,9460/2017,2017-06-02 12:22:45,2017-06-02 12:28:58,577,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"28,76","16,66",PZ,12.1
5149,9461/2017,2017-06-02 12:28:23,2017-06-02 12:33:36,089,"Przedsiębiorstwo Usługowo-Asenizacyjne ""ASTWA"" Sp. z o.o.",20 03 01,JUCHNOWIEC KOŚCIELNY,"26,7","14,44",PZ,12.26
5150,9462/2017,2017-06-02 12:36:46,2017-06-02 12:46:37,227,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"22,16","14,64",PZ,7.52
5151,9463/2017,2017-06-02 12:38:27,2017-06-02 12:43:25,920,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 3,"27,74","15,72",PZ,12.02
5152,9464/2017,2017-06-02 12:43:10,2017-06-02 12:53:16,088,"Przedsiębiorstwo Usługowo-Asenizacyjne ""ASTWA"" Sp. z o.o.",20 03 01,KNYSZYN,"27,04","16,2",PZ,10.84
5153,9465/2017,2017-06-02 12:52:53,2017-06-02 12:59:28,BI 3655W,"P.U.H.P. ""LECH"" Sp. z o.o. Zakład Utylizacji Odpadów Komunalnych w Hryniewiczach",19 12 12,JUCHNOWIEC KOŚCIELNY,"21,78","14,1",PZ,7.68
5154,9467/2017,2017-06-02 13:03:51,2017-06-02 13:08:52,1006,MPO Sp. z o.o.,20 03 01,CHOROSZCZ,"21,02","15,24",PZ,5.78
5155,9468/2017,2017-06-02 13:06:57,2017-06-02 13:12:50,1026,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"30,34","16,22",PZ,14.12
5156,9469/2017,2017-06-02 14:07:10,2017-06-02 14:12:00,05,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 2,"23,86","13,8",PZ,10.06
5157,9470/2017,2017-06-02 14:09:27,2017-06-02 14:21:54,BI 4792J,MPO Sp. z o.o.,20 03 01,MICHAŁOWO,"37,76","16,5",PZ,21.26
5158,9475/2017,2017-06-02 16:34:16,2017-06-02 16:43:31,758,MPO Sp. z o.o.,20 03 01,CHOROSZCZ,"20,24","16,3",PZ,3.94
5159,9476/2017,2017-06-02 18:36:08,2017-06-02 18:42:30,911,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 1,"27,58","15,84",PZ,11.74
5160,9477/2017,2017-06-02 18:56:17,2017-06-02 19:07:21,1016,MPO Sp. z o.o.,20 03 01,CHOROSZCZ,"19,78","14,78",PZ,5
5161,9491/2017,2017-06-03 07:59:54,2017-06-03 08:04:28,652,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"7,62","6,68",PZ,0.94
5162,9492/2017,2017-06-03 08:46:47,2017-06-03 08:50:34,652,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"7,76","6,68",PZ,1.08
5163,9493/2017,2017-06-03 08:53:58,2017-06-03 08:58:35,077,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"21,9","15,58",PZ,6.32
5164,9494/2017,2017-06-03 09:52:00,2017-06-03 09:58:59,09,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 2,"20,28","12,18",PZ,8.1
5165,9495/2017,2017-06-03 10:23:05,2017-06-03 10:28:15,067,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"15,42","15,3",PZ,0.12
5166,9496/2017,2017-06-03 10:26:52,2017-06-03 10:33:56,908,MPO Sp. z o.o.,20 03 01,CHOROSZCZ,"15,46","14,44",PZ,1.02
5167,9497/2017,2017-06-03 12:30:31,2017-06-03 12:38:17,577,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"22,36","16,78",PZ,5.58
5168,9498/2017,2017-06-03 13:35:10,2017-06-03 13:43:56,908,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 3,"17,5","14,36",PZ,3.14
5169,9509/2017,2017-06-05 06:02:50,2017-06-05 06:10:20,BI 3655W,"P.U.H.P. ""LECH"" Sp. z o.o. Zakład Utylizacji Odpadów Komunalnych w Hryniewiczach",19 12 12,JUCHNOWIEC KOŚCIELNY,"22,58","14,12",PZ,8.46
5170,9526/2017,2017-06-05 06:55:13,2017-06-05 06:59:08,720,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"7,92","7,6",PZ,0.32
5171,9528/2017,2017-06-05 07:10:27,2017-06-05 07:24:55,BI 6247H,MPO Sp. z o.o.,19 12 10,BIAŁYSTOK,"35,84","15,96",PZ,19.88
5172,9529/2017,2017-06-05 07:22:32,2017-06-05 07:27:17,720,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"7,88","7,64",PZ,0.24
5173,9530/2017,2017-06-05 07:35:54,2017-06-05 07:51:55,BI 3229W,Przedsiębiorstwo Usług Komunalnych Sp. z o.o,19 12 12,HAJNÓWKA,"34,42","16,14",PZ,18.28
5174,9532/2017,2017-06-05 07:39:46,2017-06-05 07:46:40,091,"Przedsiębiorstwo Usługowo-Asenizacyjne ""ASTWA"" Sp. z o.o.",20 03 01,JUCHNOWIEC KOŚCIELNY,"19,28","12,46",PZ,6.82
5175,9534/2017,2017-06-05 08:21:58,2017-06-05 08:38:55,BHA 87TC,Przedsiębiorstwo Usług Komunalnych Sp. z o.o,19 12 12,HAJNÓWKA,"37,12","15,78",PZ,21.34
5176,9535/2017,2017-06-05 08:22:29,2017-06-05 08:29:08,BI 3655W,"P.U.H.P. ""LECH"" Sp. z o.o. Zakład Utylizacji Odpadów Komunalnych w Hryniewiczach",19 12 12,JUCHNOWIEC KOŚCIELNY,"23,14","14,1",PZ,9.04
5177,9536/2017,2017-06-05 08:26:10,2017-06-05 08:36:16,257,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"27,28","14,52",PZ,12.76
5178,9538/2017,2017-06-05 08:32:23,2017-06-05 08:37:06,077,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"27,46","15,68",PZ,11.78
5179,9539/2017,2017-06-05 08:33:04,2017-06-05 08:46:15,BI 6247H,MPO Sp. z o.o.,19 12 10,BIAŁYSTOK,"33,42","16,04",PZ,17.38
5180,9540/2017,2017-06-05 08:33:45,2017-06-05 08:43:47,267,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"24,34","14,86",PZ,9.48
5181,9541/2017,2017-06-05 08:57:28,2017-06-05 09:16:57,BI 3768V,Zakład Gospodarowania Odpadami Sp. z o.o.,19 12 12,Łomża,"37,96","15,12",PZ,22.84
5182,9542/2017,2017-06-05 08:59:19,2017-06-05 09:03:56,04,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 2,"25,84","13,9",PZ,11.94
5183,9545/2017,2017-06-05 09:40:16,2017-06-05 09:47:08,067,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"26,24","15,28",PZ,10.96
5184,9546/2017,2017-06-05 09:45:24,2017-06-05 09:50:03,096,Miasto Białystok- Urząd Miejski w Białymstoku (gm. Czarna Białostocka),20 03 01,Czarna Białostocka,"21,78","12,66",PZ,9.12
5185,9547/2017,2017-06-05 09:49:06,2017-06-05 10:02:06,BI 4792J,Przedsiębiorstwo Gospodarki Komunalnej Sp. z o.o,19 12 12,ZAMBRÓW,"38,74","16,88",PZ,21.86
5186,9549/2017,2017-06-05 10:00:07,2017-06-05 10:07:39,277,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"29,4","15,7",PZ,13.7
5187,9550/2017,2017-06-05 10:20:59,2017-06-05 10:25:13,652,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"7,02","6,7",PZ,0.32
5188,9554/2017,2017-06-05 10:51:31,2017-06-05 10:58:19,BI 3655W,"P.U.H.P. ""LECH"" Sp. z o.o. Zakład Utylizacji Odpadów Komunalnych w Hryniewiczach",19 12 12,JUCHNOWIEC KOŚCIELNY,"20,38","14,08",PZ,6.3
5189,9555/2017,2017-06-05 10:56:09,2017-06-05 11:01:54,577,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"28,26","16,82",PZ,11.44
5190,9557/2017,2017-06-05 11:01:25,2017-06-05 11:06:36,907,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"25,24","15,04",PZ,10.2
5191,9558/2017,2017-06-05 11:02:12,2017-06-05 11:08:36,01,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 5,"9,6","8,72",PZ,0.88
5192,9559/2017,2017-06-05 11:06:57,2017-06-05 11:13:51,11,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 2,"30,06","15,04",PZ,15.02
5193,9560/2017,2017-06-05 11:17:43,2017-06-05 11:23:50,077,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"24,46","15,54",PZ,8.92
5194,9561/2017,2017-06-05 11:28:35,2017-06-05 11:34:17,237,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"24,1","15,82",PZ,8.28
5195,9562/2017,2017-06-05 11:29:29,2017-06-05 11:41:46,257,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"23,8","14,38",PZ,9.42
5196,9563/2017,2017-06-05 11:38:05,2017-06-05 11:45:07,1020,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"27,56","18,36",PZ,9.2
5197,9564/2017,2017-06-05 11:47:46,2017-06-05 11:53:46,094,"Przedsiębiorstwo Usługowo-Asenizacyjne ""ASTWA"" Sp. z o.o.",20 03 01,Supraśl,"25,78","15,46",PZ,10.32
5198,9565/2017,2017-06-05 11:49:15,2017-06-05 11:55:30,909,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"19,7","12,24",PZ,7.46
5199,9566/2017,2017-06-05 11:49:38,2017-06-05 11:56:34,04,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 2,"21,9","13,88",PZ,8.02
5200,9567/2017,2017-06-05 11:57:27,2017-06-05 12:02:55,01,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 5,"8,96","8,72",PZ,0.24
5201,9568/2017,2017-06-05 12:20:52,2017-06-05 12:26:58,067,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"23,58","15,24",PZ,8.34
5202,9569/2017,2017-06-05 12:21:30,2017-06-05 12:29:55,911,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 3,"30,22","15,8",PZ,14.42
5203,9570/2017,2017-06-05 12:26:32,2017-06-05 12:36:10,267,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"25,34","14,86",PZ,10.48
